Ticker,Close,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings (TTM),EPS Basic (TTM),Number of Employees,Sector
NCI,21.63,0.09254975,0.02,Strong Buy,7043,952102500,22.42706,0.99694,6008,Industrials
GSHT,10.22,0,0,Strong Buy,154,948100000,265.2027,0.04144,3,Financials
RFP,10.6,-0.46948355,-0.05,Strong Buy,4442,930251500,2.84296,3.75139,7700,Basic Materials
FLWS,14.575,-0.17123288,-0.025,Strong Buy,1932,927067700,22.08875,0.69362,4633,Consumer Cyclicals
SCHN,34.25,0.07304602,0.025,Strong Buy,4105,924355700,9.13943,3.89925,3183,Basic Materials
MCS,36.15,0.2773925,0.1,Strong Buy,4480,913892200,23.33966,1.58521,7800,Consumer Cyclicals
FSP,8.63,0,0,Strong Buy,3609,910392500,,-0.17717,39,Financials
GBNK,30.95,0.080840744,0.025,Strong Buy,2814,908689800,19.13867,1.62585,487,Financials
XOXO,33.82,0.0591716,0.02,Strong Buy,5340,882007300,72.11528,0.47459,741,Consumer Cyclicals
JBSS,78.33,0.33303446,0.26,Strong Buy,700,879237600,24.84727,3.16208,1325,Consumer Non-Cyclicals
OBNK,40.79,0.049055677,0.02,Strong Buy,2794,878895600,,,,Financials
SP,37.95,0.13192612,0.05,Strong Buy,1505,847748500,16.94484,2.27061,13100,Industrials
EPRT,14,-0.07137759,-0.01,Strong Buy,3750,839868000,121.4224,0.1153,19,Financials
UBP,18,2.2477462,0.3957,Strong Buy,100,839417200,41.65897,0.55224,51,Financials
HT,21.52,0.11630612,0.025,Strong Buy,18758,838920300,,-0.7351,51,Financials
MSBI,35.55,0.14084508,0.05,Strong Buy,2109,829674300,56.32483,0.63778,840,Financials
EXPI,14.59,0.62068963,0.09,Strong Buy,370,819221200,,-0.54758,184,Financials
UVSP,28,0.17889088,0.05,Strong Buy,8168,804276700,16.43128,1.71335,855,Financials
CMTL,34.24,0.07306737,0.025,Strong Buy,3549,796734900,27.62672,1.2481,1813,Technology
FORR,43.4,0.115340255,0.05,Strong Buy,1984,772412800,65.64204,0.6743,1392,Consumer Cyclicals
XCRA,14.1,0,0,Strong Buy,6201,769906600,15.8498,0.90491,1640,Technology
ORIT,16.5,0,0,Strong Buy,6036,764513000,13.97441,1.19749,197,Financials
SVU,32.23,0.202083,0.065,Strong Buy,277973,746986100,29.8163,1.07894,31000,Consumer Non-Cyclicals
MSEX,45.74,-0.13100436,-0.06,Strong Buy,1687,741725400,33.96179,1.35284,315,Utilities
EDN,33,-0.15128593,-0.05,Strong Buy,282,741540900,23.8063,1.3918,4789,Utilities
MPAC,10.05,0.0996016,0.01,Strong Buy,100,732009000,297.9671,0.1539,,Financials
LMAT,37.37,0.16081479,0.06,Strong Buy,2451,721510300,36.72597,1.06614,400,Healthcare
OFG,16.45,0,0,Strong Buy,6563,712287200,17.98994,0.98085,1408,Financials
DFIN,20.92,0.14360939,0.03,Strong Buy,10657,707832000,31.19504,0.67672,3400,Industrials
AHPA,10.07,0.099403575,0.01,Strong Buy,200,702615000,,-0.50345,4,Financials
TRK,17.5,0.40160644,0.07,Strong Buy,703,698452900,25.62449,0.68244,726,Consumer Cyclicals
VSLR,6,0.84033614,0.05,Strong Buy,8344,680439300,,-0.03922,2322,Utilities
APTX,22.1,0.6604418,0.145,Strong Buy,1477,676910200,,-1.07705,64,Healthcare
VIVO,15.825,-0.1577287,-0.025,Strong Buy,3252,671156900,40.33184,0.39553,640,Healthcare
FDEF,33.33,0.120156206,0.04,Strong Buy,1397,670762000,,,674,Financials
PUB,36.7,0.27322406,0.1,Strong Buy,735,665924600,25.17827,1.48274,483,Financials
BMRC,89.85,0.11142062,0.1,Strong Buy,924,619124300,25.77453,3.53512,291,Financials
AQST,15.95,1.4631044,0.23,Strong Buy,7894,618616100,,-1.01701,70,Healthcare
CCXI,12.44,0.24174052,0.03,Strong Buy,4619,607495000,56.08447,0.29476,66,Healthcare
GLP,17.75,-0.41684666,-0.0743,Strong Buy,100,603421300,8.33838,2.14019,2000,Energy
ABEO,13,1.5625,0.2,Strong Buy,181256,600777100,,-0.70287,42,Healthcare
ABTX,45.35,0.22099447,0.1,Strong Buy,1100,600324400,27.90216,1.66099,375,Financials
MYRG,36.88,-0.05420054,-0.02,Strong Buy,2200,590097100,34.13813,1.09105,5275,Industrials
IVC,17.5,0.28653294,0.05,Strong Buy,12926,582028300,,-2.29636,4200,Healthcare
ELOX,16.71,0.059880238,0.01,Strong Buy,300,549209500,,-3.29377,25,Healthcare
BLDP,3.1,0,0,Strong Buy,14580,544015600,,-0.05975,519,Energy
OBE,1.06,0.47393364,0.005,Strong Buy,6500,535374820,,-0.267,281,Energy
SPNS,10.65,0.4716981,0.05,Strong Buy,200,530146900,339.7129,0.0318,2376,Technology
SSTI,43.85,0.102728,0.045,Strong Buy,701,476968100,,-1.91458,85,Technology
HIFS,223.99,1.3071467,2.8901,Strong Buy,100,472617400,16.08811,14.19597,90,Financials
LCI,12.85,0.5084083,0.065,Strong Buy,23920,471375500,7.55305,1.74022,1126,Healthcare
CRD.A,8.423,0.27380952,0.023,Strong Buy,2000,460987700,14.89722,0.57952,8800,Financials
AXAS,2.765,0.18115942,0.005,Strong Buy,23185,453076300,35.0788,0.0799,112,Energy
CORR,37.94,0.026364356,0.01,Strong Buy,1857,445059100,18.37172,2.06513,18,Financials
SVA,7.95,0.6329114,0.05,Strong Buy,6208,444910200,17.59356,0.45246,644,Healthcare
INWK,8.27,0.12106538,0.01,Strong Buy,5612,437077300,18.58895,0.45369,2000,Industrials
ELGX,5.16,0.09699321,0.005,Strong Buy,23261,428452600,,-0.77166,675,Healthcare
OMN,9.65,0,0,Strong Buy,3310,424041500,,-1.67226,1800,Basic Materials
SMTS,2.55,0.39370078,0.01,Strong Buy,200,423097470,282.9752,0.009145939,1362,Basic Materials
STIM,26.2,0.057284705,0.015,Strong Buy,700,421084900,,-1.04903,167,Healthcare
NATH,100.15,0.25025025,0.25,Strong Buy,200,419172600,179.1275,0.57234,205,Consumer Cyclicals
YORW,32,0.23492561,0.075,Strong Buy,300,402957200,31.35165,1.02068,102,Utilities
CNACU,11.5,4.735883,0.52,Strong Buy,100,398024400,69.18125,0.16623,,Financials
ATAX,6.4,0.39215687,0.025,Strong Buy,200,385618700,14.9292,0.42869,0,Financials
WRLSU,10.65,0,0,Strong Buy,300,383859500,,-0.10066,3,Financials
MRLN,30.85,0.16233766,0.05,Strong Buy,100,380057300,19.83948,1.55992,330,Financials
TORC,12.93,0.23255815,0.03,Strong Buy,10447,377783900,,-2.178,7,Healthcare
LGC.U,10.07,0,0,Strong Buy,1700,375375000,521.0828,0.01921,,Financials
MGIC,8.625,0.877193,0.075,Strong Buy,700,373581400,24.69171,0.34752,2000,Technology
GNTY,33.15,1.1287371,0.37,Strong Buy,300,368329800,21.05364,1.58438,419,Financials
TREC,15.275,-0.1633987,-0.025,Strong Buy,520,364839400,45.03046,0.35197,324,Basic Materials
WATT,14.23,0.14074595,0.02,Strong Buy,4094,362223900,,-2.25885,68,Industrials
CBMG,21.35,0,0,Strong Buy,100,361380400,,-2.95972,125,Healthcare
CCB,16.15,0,0,Strong Buy,100,351718900,25.34747,0.63675,508,Financials
ARAY,4.15,1.2195122,0.05,Strong Buy,12876,351116300,,-0.33458,944,Healthcare
ITIC,188.5,1.344086,2.5,Strong Buy,100,350667900,17.754,10.65789,360,Financials
ARTNA,38.05,-0.026274303,-0.01,Strong Buy,100,347849900,9.48056,4.03409,233,Utilities
PFIS,47.69,-0.2092488,-0.1,Strong Buy,187,344677100,8.34122,5.7066,388,Financials
