Ticker,Close,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings (TTM),EPS Basic (TTM),Number of Employees,Sector
GURE,1.38,1.4705882,0.02,Strong Buy,100,61312970,,-0.15159,699,Basic Materials
EVK,3.7,0,0,Strong Buy,100,54745170,,-5.59762,8500,Consumer Cyclicals
OBAS,9.35,6.25,0.55,Strong Buy,100,53288188,,-0.2637553,9,Financials
BDL,28.7377,-0.9044828,-0.2623,Strong Buy,300,52971440,14.86182,1.93366,1085,Consumer Cyclicals
DSWL,3.38,0.8955224,0.03,Strong Buy,1000,52580140,8.71808,0.38967,1272,Industrials
CIDM,1.54,1.986755,0.03,Strong Buy,100,52517980,2.23954,0.68764,104,Consumer Cyclicals
ESES,0.6999,4.3070045,0.0289,Strong Buy,100,52411430,,-0.59545,0,Energy
GTIM,4.214,0.33333334,0.014,Strong Buy,1000,52366970,,-0.15508,199,Consumer Cyclicals
UQM,0.97,0,0,Strong Buy,2411,51433480,,-0.09823,56,Industrials
DAIO,6.24,0.9708738,0.06,Strong Buy,100,51263260,12.86508,0.49689,74,Technology
PESI,4.45,2.2988505,0.1,Strong Buy,100,51202430,,-0.33246,249,Industrials
BHTG,3.68,0.10881393,0.004,Strong Buy,300,51014530,,-1.20955,1,Industrials
MELR,20,0.25062656,0.05,Strong Buy,1006,50555320,24.55705,0.81857,25,Financials
OTEL,14.9,-1.3245033,-0.2,Strong Buy,100,50321070,16.13532,0.93893,237,Telecommunications Services
ADOM,0.6989,0.48885694,0.0034,Strong Buy,2240,50216320,,-0.35811,11,Consumer Cyclicals
CVV,7.34,-0.6066515,-0.0448,Strong Buy,100,47349620,8.57597,0.85446,173,Industrials
PPSI,5.62,10.196078,0.52,Strong Buy,100,45375430,,-0.23296,404,Industrials
PKD,0.388,0.57024366,0.0022,Strong Buy,6322,45300390,,-0.80668,2266,Energy
CLDC,1.88,0.6531749,0.0122,Strong Buy,1000,44638960,,-3.19825,41,Financials
EVOK,2.64,0,0,Strong Buy,500,44285520,,-0.59611,7,Healthcare
SDPI,1.711,-2.2285714,-0.039,Strong Buy,5847,40483010,235.1351,0.00746,95,Energy
NFEC,5.41,-0.73394495,-0.04,Strong Buy,530,38623770,,-0.23151,225,Industrials
EQFN,10.65,0,0,Strong Buy,1000,35192180,27.82641,0.40304,67,Financials
JVA,5.49,0,0,Strong Buy,2489,31362880,30.59519,0.17944,69,Consumer Non-Cyclicals
DPW,0.5243,0,0,Strong Buy,103499,30375030,,-0.84259,29,Industrials
RCON,1.6454,0.9447853,0.0154,Strong Buy,6200,28334540,,-0.88304,89,Energy
MKGI,3.34,9.150327,0.28,Strong Buy,200,27515210,,-1.30673,9,Consumer Cyclicals
IPAS,0.3576,0.6473403,0.0023,Strong Buy,405,26843010,,-0.30292,158,Telecommunications Services
CGIX,0.95,0,0,Strong Buy,100,26220440,,-0.00953,218,Healthcare
EFOI,2.16,0.4604437,0.0099,Strong Buy,500,23929490,,-0.77118,131,Consumer Cyclicals
PMTS,2.05,1.4851485,0.03,Strong Buy,532,21824040,,-2.8608,1200,Financials
TTNP,0.93,3.3218532,0.0299,Strong Buy,200,19613460,,-0.65584,13,Healthcare
DGSE,0.76,5.4384017,0.0392,Strong Buy,30600,18873990,3.22143,0.24124,166,Consumer Cyclicals
CYCC,1.63,0.61728394,0.01,Strong Buy,300,18716020,,-1.70267,12,Healthcare
PED,2.57,0,0,Strong Buy,17391,16522770,,-5.89703,6,Energy
AWX,5.6899,1.0639431,0.0599,Strong Buy,28822,16430390,273.0326,0.02156,388,Industrials
SCKT,2.4853,1.610859,0.0394,Strong Buy,4800,13815600,32.27897,0.1044,66,Technology
STAF,2.54,0.13798541,0.0035,Strong Buy,200,10766600,,-7.47862,300,Industrials
SMIT,2.7354,0.80707574,0.0219,Strong Buy,500,10425760,55.36126,0.05046,44,Industrials
TAIT,1.94,2.1052632,0.04,Strong Buy,205,10027520,6.39451,0.31085,27,Technology
NSYS,3.4688,3.3549848,0.1126,Strong Buy,240,8959670,,-0.92894,673,Technology
NDRA,2.23,0.9506564,0.021,Strong Buy,1200,7885280,,-2.12488,5,Healthcare
PRPO,0.3899,2.5512888,0.0097,Strong Buy,12000,7373750,,-18.4233,19,Healthcare
ATIS,0.4299,0.28623217,0.001227,Strong Buy,1000,7292380,,-1.93501,0,Technology
CEI,0.36,0,0,Strong Buy,26100,7268240,,-11.4089,0,Energy
MNGA,0.267377,2.443295,0.006377,Strong Buy,14593,5624730,,-17.18641,36,Energy
