Symbol,closing,earningsQuarterlyGrowth,ForwardPE
CE,113.84,98.4,10.773845
CORT,18,297.90000000000003,10.083333
ELY,18.58,144.70000000000002,21.337078
LSXMA,45.9,61.3,17.342413
AON,142.14,104.1,14.820394
LBRT,23.17,298.7,7.222223
HCC,26.5,185.5,6.7120824
LPLA,71.84,94.1,11.107142
TLRD,33.79,656.3,9.197231
WERN,38.2,73.6,16.06681
SVU,17.09,94.5,10.043902
ENSV,1.37,3982.0,23.401999
IART,63.99,71.89999999999999,23.816175
BOOT,23.53,164.9,16.450382
BVN,15.75,59.8,11.818966
PENN,34.76,790.2,17.768616
RBS,7.93,133.9,6.76
PLAB,9.1,203.10000000000002,16.73913
AUO,4.26,54.50000000000001,14.379311
BRKS,30.59,378.5,17.25683
CDW,80.17,118.19999999999999,15.117319
MWA,11.74,86.1,17.454546
NTRI,33.95,62.5,15.526859
PF,63.26,403.59999999999997,20.496855
ORBK,63.49,102.89999999999999,15.543038
MSM,91.31,119.5,13.737014
MDC,30.79,74.2,7.9042554
RPM,51,237.2,17.462463
WLK,121.42,709.6,10.889462
KRO,25.68,92.10000000000001,7.045902
SGH,45.09,301.4,4.5
MLM,219.33,76.3,19.1036
EROS,13.35,96.3,19.520548
ENTG,35,77.0,15.610328
RRR,33.81,157.20000000000002,22.2517
LADR,15.39,277.7,9.134502
PETS,36.97,87.9,17.817461
SMCI,23.7,145.70000000000002,9.379922
LW,65.16,86.2,22.909698
OSK,77.75,150.1,10.796208
PNFP,68,110.60000000000001,11.934236
MTOR,21.55,159.1,6.4726686
LSXMK,45.84,61.3,18.264227
MRC,20.99,20000.0,17.217743
KL,19.07,309.7,8.59
GPRK,16.05,407.4,9.29956
SRCL,63.45,61.3,13.347193
AAOI,33.67,89.3,15.256885
ABR,9.44,60.4,9.919812
ARLP,18.7,82.1,8.780193
GWR,76.86,186.20000000000002,17.546257
UFS,46.85,170.0,11.7575
SBCF,31.7,127.4,14.205357
WHD,35.24,3746.7,15.962265
TKR,49.15,109.89999999999999,9.560439
NGG,59.11,60.6,13.068397
UBSI,36.6,54.0,14.260701
AJRD,28.64,137.3,23.934425
CG,21.9,52.2,7.4041815
ENVA,33.35,101.4,13.061594
PFGC,34.9,62.0,19.335938
SIVB,323.7,92.10000000000001,15.032761
ODFL,149.91,66.2,20.559723
PGTI,20.4,392.3,19.322428
GEL,22.21,70.3,16.415037
HOMB,23.57,55.900000000000006,12.1595745
RXN,28.92,2450.0,14.6403055
WAGE,44.8,64.3,23.859272
CQP,34.11,612.8,15.609225
UNT,22.35,5197.4,18.333334
ITT,53.78,120.0,14.261364
SJI,32.84,194.9,19.587208
TMK,86.58,660.7,12.435385
FORM,13.45,59.0,9.277778
HSC,24.35,100.29999999999998,16.666666
RS,94,388.5,10.725587
OMI,16.46,56.599999999999994,7.7990866
PRIM,25.85,55.60000000000001,14.408378
HUM,291.89,56.00000000000001,17.462843
AKG,1.205,72.5,21.6
SLGN,27.76,516.6,11.558952
WWW,32.84,179.6,15.412281
ST,52.52,154.20000000000002,11.87
NS,23.67,117.7,17.480452
SEM,18.25,399.7,13.538463
APTS,14.59,52.2,6.8024693
PVAC,65.34,63.3,6.4719443
MKSI,113.15,61.6,9.935898
MX,11,93.7,10.3092785
PATK,59.8,72.1,11.130585
ENR,58.86,83.39999999999999,18.031609
PBA,34.39,239.7,17.958334
WGL,88.23,138.1,21.299568
BANC,19.5,50.2,17.87383
ACCO,12.85,188.9,9.336735
WES,51.76,95.5,15.527509
GBX,50.1,78.5,11.673028
HUBG,48.3,56.39999999999999,17.29682
SFNC,31.45,132.0,11.948819
CHFN,25.21,58.3,16.0
CQH,28.3,2644.9,13.707423
GAB,6.34,91.7,5.87
CARB,36.05,57.3,18.121693
LSTR,111.75,77.60000000000001,17.532362
APAM,33.3,108.5,9.156442
GDOT,71.47,71.8,20.745613
KFY,54.68,52.900000000000006,16.884506
BCC,45.9,269.8,13.343466
TNET,53.3,194.70000000000002,18.305084
CLGX,51.99,83.2,16.911476
TPIC,26.06,65.9,15.586021
CVI,45.14,198.2,7.2055883
RELX,22.18,60.5,20.254717
LAMR,68.03,64.0,20.056046
NMIH,17.2,307.0,7.799043
AHL,43.2,68.30000000000001,10.721785
FUL,52.47,222.29999999999998,13.35589
GNRC,50.54,176.29999999999998,12.95023
BKH,57.05,73.8,17.768116
SRI,31.21,60.9,15.811107
CSL,106.62,401.0,15.432471
WEX,178.82,65.4,20.571274
TRTN,35.71,133.7,6.383475
PSXP,50.9,83.1,13.928767
MMI,37.69,50.1,17.791285
NTGR,60.55,65.0,20.800001
CEIX,42.51,52.300000000000004,10.380758
SIR,21.2,393.5,21.314285
TACO,11.76,337.9,21.227272
BSIG,15.49,167.79999999999998,7.0588236
OMF,34.36,275.8,6.027423
PTR,78.63,78.10000000000001,21.498558
MC,59.5,118.10000000000001,19.748322
FANH,29.17,86.7,17.357407
MGRC,64.18,81.39999999999999,20.719471
FSS,24.14,76.7,16.919708
OA,133.8,53.0,17.090216
NBLX,51.88,61.7,10.012974
NANO,37.9,206.1,14.590909
PAG,47.88,299.6,8.839252
ENSG,35.59,714.5,18.16
BMCH,20.05,310.2,12.105264
KLXI,74.76,72.3,14.420635
TYHT,1.9074,136.8,1.31
KS,34.5,446.40000000000003,13.792829
NZF,14.33,271.0,5.59
FCN,61.35,177.89999999999998,21.241259
MBUU,42.49,95.6,14.652632
BPMP,21.3,148.3,13.887417
FAMI,9.33,51.300000000000004,4.23
ENS,79.05,60.0,12.817708
SDLP,3.69,74.0,2.7941804
ICL,4.66,1264.7,12.459459
BPI,6.52,76.7,19.529411
UFPI,35.72,55.900000000000006,13.113719
OSIS,67.91,81.8,20.247396
DCP,40.88,79.7,17.908257
HMSY,21.19,343.2,23.138298
CVGI,8.51,1468.9,5.2627735
MIXT,19.58,105.69999999999999,21.096386
CCS,30.7,127.49999999999999,6.888889
GLOG,18.35,120.6,18.557692
FDUS,14.36,57.599999999999994,9.012821
ELF,19.79,225.4,23.260868
FIX,45.75,122.8,16.070175
KFRC,32.6,55.50000000000001,13.498025
